frame,cx,cy,area,detected
1,230.3563053563897,120.45896246309574,5927.5,1
2,230.36415932251236,120.46381353938209,5931.700000000001,1
3,230.37078839956547,120.46107314676766,5936.02,1
4,230.3733015366692,120.45573380310812,5939.412,1
5,230.3752722486609,120.45397363763168,5941.0472,1
6,230.39387311689876,120.40985969335426,5946.62832,1
7,230.3987741753075,120.39116471012757,5949.176992000001,1
8,230.38844363893244,120.35731887426391,5949.1061952,1
9,230.37893147881593,120.38962524515179,5942.06371712,1
10,230.37250372955992,120.36997730991955,5944.838230272,1
11,230.3639251442366,120.32195834175407,5944.1029381632,1
12,230.3709568901604,120.27022648099486,5946.86176289792,1
13,230.36686529605225,120.21544454718821,5945.7170577387515,1
14,230.3566313782134,120.21149193538702,5949.830234643251,1
15,230.34332216335224,120.31309876346886,5942.49814078595,1
16,230.33678908748504,120.39182838088834,5940.49888447157,1
17,230.3413167321742,120.43711382581398,5937.699330682942,1
18,230.34773611484923,120.46747846906737,5940.0195984097645,1
19,230.37169706052913,120.48043649548646,5936.211759045858,1
20,230.38731677728268,120.49336851906517,5937.727055427515,1
21,230.3995058180256,120.53252049394723,5937.836233256508,1
22,230.37661195513408,120.56546785939543,5942.101739953905,1
23,230.37344838030583,120.50334444277739,5942.061043972343,1
24,230.35225030830526,120.48007380018913,5930.636626383406,1
25,230.31669872744197,120.5203045251494,5925.381975830043,1
26,230.3123098664728,120.48716795587566,5926.629185498026,1
27,230.32201135175356,120.47125080301896,5929.377511298816,1
28,230.3464011734456,120.47301126331192,5927.426506779289,1
29,230.37646252869393,120.44709479917206,5926.255904067573,1
30,230.38442819308153,120.48170687669881,5932.953542440544,1
31,230.38731206210198,120.4823984832645,5932.372125464326,1
32,230.37449398041397,120.47829236030344,5930.223275278596,1
33,230.37346796299397,120.4822078893366,5929.733965167157,1
34,230.3855747401665,120.47991164739022,5931.840379100295,1
35,230.38317548201545,120.37001122922479,5933.5042274601765,1
36,230.39326784259202,120.39956349186168,5932.9025364761055,1
37,230.41514277838434,120.30520588223185,5939.741521885663,1
38,230.40166010177427,120.35289071089272,5946.244913131398,1
39,230.3947566944344,120.38813466236482,5942.346947878838,1
40,230.39626870003462,120.39650034161198,5943.608168727304,1
41,230.3887075834018,120.41162668629266,5940.164901236381,1
42,230.3926228774812,120.43338225300589,5939.698940741829,1
43,230.3907539634436,120.39669013661153,5944.019364445097,1
44,230.3952304446378,120.35606556180258,5951.811618667059,1
45,230.42152037443998,120.3388520403079,5945.286971200236,1
46,230.42250198121357,120.38260530218996,5941.372182720142,1
47,230.43006408419762,120.42775773121696,5935.423309632085,1
48,230.37601437036366,120.4639572684627,5936.65398577925,1
49,230.34390723625773,120.48115752713987,5933.392391467551,1
50,230.33243434989635,120.53203655283745,5934.635434880531,1
51,230.33377811818585,120.47535904516218,5945.181260928319,1
52,230.33708802211567,120.49754615297837,5944.908756556992,1
53,230.33426346200133,120.50873366068151,5945.945253934195,1
54,230.34140488762307,120.49414405984106,5941.967152360517,1
55,230.3535228561779,120.49040846713709,5938.780291416309,1
56,230.34178792870802,120.48834671622242,5939.068174849786,1
57,230.33345367752014,120.48042485783083,5938.040904909872,1
58,230.34807254472128,120.47900489356043,5928.2245429459235,1
59,230.33633571894893,120.48657572249567,5926.334725767554,1
60,230.3527849687269,120.52402085209877,5924.800835460532,1
61,230.36315900105762,120.5291265918404,5922.68050127632,1
62,230.39404840054993,120.48756988757441,5917.008300765792,1
63,230.37630888986115,120.47386807930786,5925.0049804594755,1
64,230.36566518344787,120.46564699434794,5929.8029882756855,1
65,230.36775718474257,120.47475481829117,5929.081792965411,1
66,230.35789530183652,120.4915983864702,5925.449075779246,1
67,230.35493151992742,120.42771779825304,5922.2694454675475,1
68,230.34415459164592,120.40625518321306,5923.561667280528,1
69,230.3345049305181,120.42939613013584,5919.5370003683165,1
70,230.34439653799535,120.41574111181137,5922.3222002209895,1
71,230.35351054877844,120.4050958868049,5922.793320132594,1
72,230.3490733671791,120.38431076641751,5924.075992079556,1
73,230.35372868731247,120.37940504666604,5918.845595247734,1
74,230.3599523910343,120.39069734001922,5919.107357148641,1
75,230.36665242607646,120.40130783806956,5915.6644142891855,1
76,230.3907244001044,120.4223046960787,5915.1986485735115,1
77,230.4057392329057,120.44896467169062,5915.119189144107,1
78,230.38954619061764,120.4431295080341,5913.071513486464,1
79,230.373124721908,120.43858554597244,5918.242908091878,1
80,230.3638253170521,120.45539755760822,5920.545744855127,1
81,230.33641168359503,120.48099912294941,5918.127446913077,1
82,230.31543266864702,120.51370273601361,5923.476468147846,1
83,230.3162860205249,120.55788999461548,5926.085880888708,1
84,230.33117687146773,120.5604322578104,5921.051528533225,1
85,230.34600426128384,120.57272175495784,5909.030917119935,1
86,230.3684867091287,120.55932562959089,5910.018550271961,1
87,230.38957523789497,120.5001193077922,5916.811130163177,1
88,230.36226678410853,120.49525989271355,5922.086678097907,1
89,230.33796976815196,120.47093668112724,5919.452006858744,1
90,230.3285253814399,120.46635916390207,5923.271204115246,1
91,230.3370013169483,120.47349959014747,5918.362722469148,1
92,230.33701973167317,120.48121294730194,5920.417633481489,1
93,230.33189343187965,120.42187067353113,5932.850580088893,1
94,230.33613479809375,120.3924414457328,5938.710348053336,1
95,230.31775507176908,120.42530415365655,5931.826208832002,1
96,230.30075839493674,120.40796799577589,5932.095725299201,1
97,230.30550421360454,120.38547657670456,5931.657435179521,1
98,230.30813237439415,120.27403865587905,5939.194461107712,1
99,230.30360242300935,120.24961648309707,5939.916676664628,1
100,230.3016676266451,120.3042592276809,5939.950005998777,1
101,230.30397203024643,120.34500777306616,5936.770003599266,1
102,230.31031780596146,120.42829722656371,5942.86200215956,1
103,230.3349241514092,120.4981910685094,5944.917201295736,1
104,230.36240741065552,120.46644747150519,5952.950320777441,1
105,230.3567323634104,120.50687156672706,5949.770192466465,1
106,230.37739172247655,120.44040237313521,5959.462115479879,1
107,230.3815775782677,120.4812458810336,5953.877269287927,1
108,230.37054364621014,120.49982772087921,5944.126361572757,1
109,230.38938833461873,120.5109700788552,5926.475816943654,1
110,230.3908641084974,120.44462046653965,5919.285490166192,1
111,230.4278579811595,120.37908433905315,5923.771294099715,1
112,230.4255338105573,120.40745961853219,5920.662776459829,1
113,230.4283584250308,120.40184155332877,5919.197665875898,1
114,230.46232747596463,120.3017845845818,5923.318599525539,1
115,230.46891143275792,120.35958277592326,5926.791159715323,1
116,230.47339969153296,120.3220850136623,5938.474695829194,1
117,230.47611918934172,120.28204273442289,5941.684817497517,1
118,230.47828653589454,120.26531446225354,5942.81089049851,1
119,230.448787495653,120.29282573126252,5936.286534299106,1
120,230.41328242911123,120.35784091587506,5924.571920579464,1
121,230.4120423989097,120.44153658033261,5909.143152347679,1
122,230.40699711335958,120.48000050590272,5904.685891408608,1
123,230.4097705086198,120.4715245251417,5900.211534845164,1
124,230.40526665410158,120.45406286636685,5903.926920907099,1
125,230.40909623616173,120.47554060187662,5897.156152544259,1
126,230.40430076332018,120.39597867171288,5912.293691526555,1
127,230.39350474262113,120.42363711721134,5916.776214915933,1
128,230.39677422763174,120.40900432039979,5925.26572894956,1
129,230.40113359603362,120.44258853882341,5928.959437369736,1
130,230.38832935150893,120.46689804887295,5926.775662421842,1
131,230.39483964209379,120.51795901735505,5924.465397453105,1
132,230.40540146149792,120.42062478607795,5935.879238471864,1
133,230.37704499627662,120.38252479458357,5940.527543083118,1
134,230.3612205476005,120.3827259373817,5941.516525849871,1
135,230.35456546551816,120.41040198783438,5941.309915509923,1
136,230.37291855101955,120.39665015628606,5944.785949305953,1
137,230.36801250698474,120.40270652506506,5946.0715695835715,1
138,230.3593975064325,120.36852371329054,5946.842941750143,1
139,230.3461973356483,120.3362504256716,5942.105765050086,1
