frame,cx,cy,area,detected
12,373.81975583319064,355.3602601403389,5843.0,1
13,373.78684118393795,355.3333239824676,5833.4,1
14,373.7802373695452,355.2970949693646,5833.84,1
15,373.7897682983551,355.22616309296836,5829.304,1
16,373.83293564087575,355.2305993455868,5828.9824,1
17,373.8631452229093,355.2807494145146,5820.58944,1
18,373.87954880398115,355.373948578045,5827.353664,1
19,373.88247468247425,355.3804667078026,5833.412198399999,1
20,373.8867157974021,355.4289680133098,5845.047319039999,1
21,373.89470435093745,355.4096559312158,5846.828391424,1
22,373.8866249258908,355.3672942556035,5851.897034854401,1
23,373.88027242370947,355.3177029688309,5862.53822091264,1
24,373.82487225732325,355.24661768153766,5859.122932547583,1
25,373.83475446932164,355.140024423149,5844.47375952855,1
26,373.84092566596973,355.2382169574588,5845.08425571713,1
27,373.8590941281687,355.3168189685109,5849.8505534302785,1
28,373.8909342291231,355.3433128366536,5857.710332058167,1
29,373.89687665640975,355.3427240798553,5857.626199234901,1
30,373.90642277060897,355.37908043806993,5857.97571954094,1
31,373.8804334520316,355.4249448334867,5847.585431724565,1
32,373.87725427510577,355.5238269978304,5854.9512590347385,1
33,373.8490613429835,355.49063991757714,5855.9707554208435,1
34,373.83454831463973,355.48054833021615,5860.182453252506,1
35,373.8079397337614,355.41282959570526,5858.909471951503,1
36,373.79221669188144,355.44445985694597,5862.545683170902,1
37,373.7932025976089,355.39104451485014,5861.527409902541,1
38,373.8048225700439,355.3666076158313,5863.316445941525,1
39,373.79182604124077,355.2509069524508,5851.789867564915,1
40,373.79291497146374,355.19503819355157,5841.873920538948,1
41,373.79112874785386,355.1424857994786,5831.124352323369,1
42,373.78801798882,355.2386977583528,5838.8746113940215,1
43,373.8140908069637,355.3097970252302,5843.924766836413,1
44,373.81966663123956,355.39318578714756,5850.954860101848,1
45,373.81171339865716,355.3750775693494,5851.372916061109,1
46,373.81781476043125,355.35772048431085,5856.423749636666,1
47,373.83029602961483,355.36431632132945,5855.854249782,1
48,373.83848121660907,355.39003785692864,5858.7125498692,1
49,373.83931316145896,355.3470612240418,5848.82752992152,1
50,373.8505703739422,355.3898049943439,5856.6965179529125,1
51,373.8364363567425,355.3983699353122,5856.817910771748,1
52,373.84877202230774,355.38060611960316,5857.290746463049,1
53,373.852584019671,355.3911583420728,5855.974447877829,1
54,373.85964609687244,355.4151768438534,5857.384668726698,1
55,373.83779959041203,355.4128011193005,5849.8308012360185,1
56,373.8116611720036,355.2907295359987,5834.698480741611,1
57,373.8208046341282,355.3140494664601,5832.619088444966,1
58,373.81330150392967,355.2995845018493,5838.17145306698,1
59,373.8110600250594,355.226337873338,5834.302871840187,1
60,373.7974115812676,355.2627416395828,5831.781723104113,1
61,373.78515833891566,355.2868499950739,5824.469033862468,1
62,373.78885372261755,355.335174605392,5826.68142031748,1
63,373.7894366505448,355.31818491317654,5825.808852190488,1
64,373.8034841478445,355.30538098872694,5830.885311314293,1
65,373.815292419749,355.29064710953287,5832.331186788576,1
66,373.7998410905027,355.30006861067534,5833.998712073146,1
67,373.79040033963173,355.2149828251879,5825.799227243888,1
68,373.7935786697043,355.2233609525978,5833.479536346333,1
69,373.7875715979371,355.27766538671096,5826.687721807799,1
70,373.7851538695184,355.22362596509663,5825.2126330846795,1
71,373.7820279892073,355.16131594348485,5825.727579850807,1
72,373.7916362544054,355.21392074409164,5827.636547910484,1
73,373.7561215711508,354.87703749356206,5803.38192874629,1
74,373.7722879581173,354.97004605915856,5815.629157247774,1
75,373.7719799197755,354.95629221488616,5814.577494348665,1
76,373.762091441802,354.9128402892798,5817.346496609199,1
77,373.770097976922,354.840235640488,5805.007897965519,1
78,373.75914104467995,354.89327294061263,5809.004738779311,1
79,373.71109787245234,354.77258543276497,5796.602843267587,1
80,373.68335999221415,354.7135166575829,5789.961705960552,1
81,373.66287797743564,354.6928773589783,5776.57702357633,1
82,373.6855715495177,354.74757417262776,5781.546214145797,1
83,373.70250432776436,354.84588428592247,5784.527728487478,1
84,373.70794112644313,354.8878624070184,5785.1166370924875,1
85,373.705290855902,354.9430232362037,5797.269982255493,1
86,373.70719411295664,354.9748801040764,5804.961989353296,1
87,373.72807792780316,355.09136852741597,5817.1771936119785,1
88,373.7198744630515,355.13773456974866,5824.306316167187,1
89,373.73379804616434,355.0852800969285,5818.383789700312,1
90,373.7503723016717,355.22003865244574,5823.230273820187,1
91,373.7494953787101,355.25540524936366,5819.938164292113,1
92,373.76369126255526,355.2257597818733,5816.762898575267,1
93,373.7887559502253,355.2735921439717,5810.85773914516,1
94,373.80850833081456,355.21527897826843,5818.114643487095,1
95,373.79929085846345,355.2452324723283,5818.068786092257,1
96,373.7934153752931,355.2556183364436,5815.841271655354,1
97,373.7670862942657,355.0081755597776,5800.504762993212,1
98,373.75041828614155,355.06249537385247,5814.502857795927,1
99,373.74571032302083,355.0984430737185,5821.701714677556,1
100,373.75481681658573,355.1723222216003,5832.021028806534,1
101,373.79543409903715,355.3153183755496,5847.21261728392,1
102,373.8350889141534,355.4409269000745,5858.727570370352,1
103,373.8521313347281,355.42480057877793,5849.8365422222105,1
104,373.8801480106461,355.5322531901369,5858.7019253333265,1
105,373.8877104017462,355.48552985572087,5847.821155199996,1
106,373.8845811667776,355.5537617128748,5851.492693119997,1
